locus_tag	gene	type	rv_equivalent	start	end	strand	source	note
ErdFL_0018	pknB	gene	Rv0014c	15589	17470	-	ratt	Simliar to Rv0014c of M. tuberculosis H37Rv
ErdFL_0018	pknB	CDS	Rv0014c	15589	17470	-	ratt	Simliar to Rv0014c of M. tuberculosis H37Rv
ErdFL_0019	pknA	gene	Rv0015c	17466	18762	-	ratt	Simliar to Rv0015c of M. tuberculosis H37Rv
ErdFL_0019	pknA	CDS	Rv0015c	17466	18762	-	ratt	Simliar to Rv0015c of M. tuberculosis H37Rv
ErdFL_0020	pbpA	gene	Rv0016c	18758	20234	-	ratt	Simliar to Rv0016c of M. tuberculosis H37Rv
ErdFL_0020	pbpA	CDS	Rv0016c	18758	20234	-	ratt	Simliar to Rv0016c of M. tuberculosis H37Rv
ErdFL_0021	rodA	gene	Rv0017c	20230	21640	-	ratt	Simliar to Rv0017c of M. tuberculosis H37Rv
ErdFL_0021	rodA	CDS	Rv0017c	20230	21640	-	ratt	Simliar to Rv0017c of M. tuberculosis H37Rv
ErdFL_0022	pstP	gene	Rv0018c	21636	23181	-	ratt	Simliar to Rv0018c of M. tuberculosis H37Rv
ErdFL_0022	pstP	CDS	Rv0018c	21636	23181	-	ratt	Simliar to Rv0018c of M. tuberculosis H37Rv
ErdFL_0023	fhaB	gene	Rv0019c	23269	23737	-	ratt	Simliar to Rv0019c of M. tuberculosis H37Rv
ErdFL_0023	fhaB	CDS	Rv0019c	23269	23737	-	ratt	Simliar to Rv0019c of M. tuberculosis H37Rv
ErdFL_0024	fhaA	gene	Rv0020c	23860	25426	-	ratt	Simliar to Rv0020c of M. tuberculosis H37Rv
ErdFL_0024	fhaA	CDS	Rv0020c	23860	25426	-	ratt	Simliar to Rv0020c of M. tuberculosis H37Rv
ErdFL_0025	leuT	gene	Rvnt03	25625	25708	+	ratt	Simliar to Rvnt03 of M. tuberculosis H37Rv
ErdFL_0025	leuT	tRNA	Rvnt03	25625	25708	+	ratt	Simliar to Rvnt03 of M. tuberculosis H37Rv
ErdFL_0026	ErdFL_0026	gene	Rv0021c	25894	26863	-	ratt	Simliar to Rv0021c of M. tuberculosis H37Rv
ErdFL_0026	ErdFL_0026	CDS	Rv0021c	25894	26863	-	ratt	Simliar to Rv0021c of M. tuberculosis H37Rv
ErdFL_0027	whiB5	gene	Rv0022c	27004	27424	-	ratt	Simliar to Rv0022c of M. tuberculosis H37Rv
ErdFL_0027	whiB5	CDS	Rv0022c	27004	27424	-	ratt	Simliar to Rv0022c of M. tuberculosis H37Rv
ErdFL_0028	ErdFL_0028	gene	Rv0023	27576	28347	+	ratt	Simliar to Rv0023 of M. tuberculosis H37Rv
ErdFL_0028	ErdFL_0028	CDS	Rv0023	27576	28347	+	ratt	Simliar to Rv0023 of M. tuberculosis H37Rv
ErdFL_0029	ErdFL_0029	gene	Rv0024	28343	29189	+	ratt	Simliar to Rv0024 of M. tuberculosis H37Rv
ErdFL_0029	ErdFL_0029	CDS	Rv0024	28343	29189	+	ratt	Simliar to Rv0024 of M. tuberculosis H37Rv
ErdFL_0030	ErdFL_0030	gene	Rv0025	29226	29499	+	ratt	Simliar to Rv0025 of M. tuberculosis H37Rv
ErdFL_0030	ErdFL_0030	CDS	Rv0025	29226	29499	+	ratt	Simliar to Rv0025 of M. tuberculosis H37Rv
ErdFL_0031	ErdFL_0031	gene	Rv0026	29702	31049	+	ratt	Simliar to Rv0026 of M. tuberculosis H37Rv
ErdFL_0031	ErdFL_0031	CDS	Rv0026	29702	31049	+	ratt	Simliar to Rv0026 of M. tuberculosis H37Rv
ErdFL_0032	ErdFL_0032	gene	Rv0027	31169	31487	+	ratt	Simliar to Rv0027 of M. tuberculosis H37Rv
ErdFL_0032	ErdFL_0032	CDS	Rv0027	31169	31487	+	ratt	Simliar to Rv0027 of M. tuberculosis H37Rv
ErdFL_0033	ErdFL_0033	gene	Rv0028	31494	31800	+	ratt	Simliar to Rv0028 of M. tuberculosis H37Rv
ErdFL_0033	ErdFL_0033	CDS	Rv0028	31494	31800	+	ratt	Simliar to Rv0028 of M. tuberculosis H37Rv
ErdFL_0034	ErdFL_0034	gene		31804	31948	-	bakta	De novo annotation with bakta
ErdFL_0034	ErdFL_0034	CDS		31804	31948	-	bakta	De novo annotation with bakta
ErdFL_0035	ErdFL_0035	gene	Rv0029	32037	33135	+	ratt	Simliar to Rv0029 of M. tuberculosis H37Rv
ErdFL_0035	ErdFL_0035	CDS	Rv0029	32037	33135	+	ratt	Simliar to Rv0029 of M. tuberculosis H37Rv
ErdFL_0036	ErdFL_0036	gene	Rv0030	33204	33534	+	ratt	Simliar to Rv0030 of M. tuberculosis H37Rv
ErdFL_0036	ErdFL_0036	CDS	Rv0030	33204	33534	+	ratt	Simliar to Rv0030 of M. tuberculosis H37Rv
ErdFL_0037	bioF2	gene	Rv0032	34275	36501	+	ratt	Simliar to Rv0032 of M. tuberculosis H37Rv
ErdFL_0037	bioF2	CDS	Rv0032	34275	36501	+	ratt	Simliar to Rv0032 of M. tuberculosis H37Rv
ErdFL_0038	acpA	gene	Rv0033	36586	36850	+	ratt	Simliar to Rv0033 of M. tuberculosis H37Rv
ErdFL_0038	acpA	CDS	Rv0033	36586	36850	+	ratt	Simliar to Rv0033 of M. tuberculosis H37Rv
ErdFL_0039	ErdFL_0039	gene	Rv0034	36846	37242	+	ratt	Simliar to Rv0034 of M. tuberculosis H37Rv
ErdFL_0039	ErdFL_0039	CDS	Rv0034	36846	37242	+	ratt	Simliar to Rv0034 of M. tuberculosis H37Rv
ErdFL_0040	fadD34	gene	Rv0035	37238	38927	+	ratt	Simliar to Rv0035 of M. tuberculosis H37Rv
ErdFL_0040	fadD34	CDS	Rv0035	37238	38927	+	ratt	Simliar to Rv0035 of M. tuberculosis H37Rv
ErdFL_0041	ErdFL_0041	gene	Rv0036c	39035	39809	-	ratt	Simliar to Rv0036c of M. tuberculosis H37Rv
ErdFL_0041	ErdFL_0041	CDS	Rv0036c	39035	39809	-	ratt	Simliar to Rv0036c of M. tuberculosis H37Rv
ErdFL_0042	ErdFL_0042	gene	Rv0037c	39856	41182	-	ratt	Simliar to Rv0037c of M. tuberculosis H37Rv
ErdFL_0042	ErdFL_0042	CDS	Rv0037c	39856	41182	-	ratt	Simliar to Rv0037c of M. tuberculosis H37Rv
ErdFL_0043	ErdFL_0043	gene	Rv0038	41283	41892	+	ratt	Simliar to Rv0038 of M. tuberculosis H37Rv
ErdFL_0043	ErdFL_0043	CDS	Rv0038	41283	41892	+	ratt	Simliar to Rv0038 of M. tuberculosis H37Rv
ErdFL_0044	ErdFL_0044	gene	Rv0039c	41983	42331	-	ratt	Simliar to Rv0039c of M. tuberculosis H37Rv
ErdFL_0044	ErdFL_0044	CDS	Rv0039c	41983	42331	-	ratt	Simliar to Rv0039c of M. tuberculosis H37Rv
ErdFL_0045	mtc28	gene	Rv0040c	42412	43345	-	ratt	Simliar to Rv0040c of M. tuberculosis H37Rv
ErdFL_0045	mtc28	CDS	Rv0040c	42412	43345	-	ratt	Simliar to Rv0040c of M. tuberculosis H37Rv
ErdFL_0046	leuS	gene	Rv0041	43541	46451	+	ratt	Simliar to Rv0041 of M. tuberculosis H37Rv
ErdFL_0046	leuS	CDS	Rv0041	43541	46451	+	ratt	Simliar to Rv0041 of M. tuberculosis H37Rv
ErdFL_0047	ErdFL_0047	gene	Rv0042c	46560	47187	-	ratt	Simliar to Rv0042c of M. tuberculosis H37Rv
ErdFL_0047	ErdFL_0047	CDS	Rv0042c	46560	47187	-	ratt	Simliar to Rv0042c of M. tuberculosis H37Rv
ErdFL_0048	ErdFL_0048	gene	Rv0043c	47345	48080	-	ratt	Simliar to Rv0043c of M. tuberculosis H37Rv
ErdFL_0048	ErdFL_0048	CDS	Rv0043c	47345	48080	-	ratt	Simliar to Rv0043c of M. tuberculosis H37Rv
ErdFL_0049	ErdFL_0049	gene	Rv0044c	48212	49007	-	ratt	Simliar to Rv0044c of M. tuberculosis H37Rv
ErdFL_0049	ErdFL_0049	CDS	Rv0044c	48212	49007	-	ratt	Simliar to Rv0044c of M. tuberculosis H37Rv
ErdFL_0050	ErdFL_0050	gene	Rv0045c	49022	49919	-	ratt	Simliar to Rv0045c of M. tuberculosis H37Rv
ErdFL_0050	ErdFL_0050	CDS	Rv0045c	49022	49919	-	ratt	Simliar to Rv0045c of M. tuberculosis H37Rv
ErdFL_0051	ino1	gene	Rv0046c	50000	51104	-	ratt	Simliar to Rv0046c of M. tuberculosis H37Rv
ErdFL_0051	ino1	CDS	Rv0046c	50000	51104	-	ratt	Simliar to Rv0046c of M. tuberculosis H37Rv
ErdFL_0052	ErdFL_0052	gene	Rv0047c	51164	51707	-	ratt	Simliar to Rv0047c of M. tuberculosis H37Rv
ErdFL_0052	ErdFL_0052	CDS	Rv0047c	51164	51707	-	ratt	Simliar to Rv0047c of M. tuberculosis H37Rv
ErdFL_0053	ErdFL_0053	gene	Rv0048c	51807	52677	-	ratt	Simliar to Rv0048c of M. tuberculosis H37Rv
ErdFL_0053	ErdFL_0053	CDS	Rv0048c	51807	52677	-	ratt	Simliar to Rv0048c of M. tuberculosis H37Rv
ErdFL_0054	ErdFL_0054	gene	Rv0049	52810	53224	+	ratt	Simliar to Rv0049 of M. tuberculosis H37Rv
ErdFL_0054	ErdFL_0054	CDS	Rv0049	52810	53224	+	ratt	Simliar to Rv0049 of M. tuberculosis H37Rv
ErdFL_0055	ponA1	gene	Rv0050	53642	55679	+	ratt	Simliar to Rv0050 of M. tuberculosis H37Rv
ErdFL_0055	ponA1	CDS	Rv0050	53642	55679	+	ratt	Simliar to Rv0050 of M. tuberculosis H37Rv
ErdFL_0056	ErdFL_0056	gene	Rv0051	55675	57358	+	ratt	Simliar to Rv0051 of M. tuberculosis H37Rv
ErdFL_0056	ErdFL_0056	CDS	Rv0051	55675	57358	+	ratt	Simliar to Rv0051 of M. tuberculosis H37Rv
ErdFL_0057	ErdFL_0057	gene	Rv0052	57389	57953	+	ratt	Simliar to Rv0052 of M. tuberculosis H37Rv
ErdFL_0057	ErdFL_0057	CDS	Rv0052	57389	57953	+	ratt	Simliar to Rv0052 of M. tuberculosis H37Rv
ErdFL_0058	rpsF	gene	Rv0053	58171	58462	+	ratt	Simliar to Rv0053 of M. tuberculosis H37Rv
ErdFL_0058	rpsF	CDS	Rv0053	58171	58462	+	ratt	Simliar to Rv0053 of M. tuberculosis H37Rv
ErdFL_0059	ssb	gene	Rv0054	58565	59060	+	ratt	Simliar to Rv0054 of M. tuberculosis H37Rv
ErdFL_0059	ssb	CDS	Rv0054	58565	59060	+	ratt	Simliar to Rv0054 of M. tuberculosis H37Rv
ErdFL_0060	rpsR1	gene	Rv0055	59101	59356	+	ratt	Simliar to Rv0055 of M. tuberculosis H37Rv
ErdFL_0060	rpsR1	CDS	Rv0055	59101	59356	+	ratt	Simliar to Rv0055 of M. tuberculosis H37Rv
ErdFL_0061	rplI	gene	Rv0056	59388	59847	+	ratt	Simliar to Rv0056 of M. tuberculosis H37Rv
ErdFL_0061	rplI	CDS	Rv0056	59388	59847	+	ratt	Simliar to Rv0056 of M. tuberculosis H37Rv
ErdFL_0062	ErdFL_0062	gene	Rv0057	59875	60397	+	ratt	Simliar to Rv0057 of M. tuberculosis H37Rv
ErdFL_0062	ErdFL_0062	CDS	Rv0057	59875	60397	+	ratt	Simliar to Rv0057 of M. tuberculosis H37Rv
ErdFL_0063	dnaB	gene	Rv0058	60375	63000	+	ratt	Simliar to Rv0058 of M. tuberculosis H37Rv
ErdFL_0063	dnaB	CDS	Rv0058	60375	63000	+	ratt	Simliar to Rv0058 of M. tuberculosis H37Rv
ErdFL_0064	ErdFL_0064	gene	Rv0059	63179	63872	+	ratt	Simliar to Rv0059 of M. tuberculosis H37Rv
ErdFL_0064	ErdFL_0064	CDS	Rv0059	63179	63872	+	ratt	Simliar to Rv0059 of M. tuberculosis H37Rv
ErdFL_0065	ErdFL_0065	gene	Rv0060	63888	64947	+	ratt	Simliar to Rv0060 of M. tuberculosis H37Rv
ErdFL_0065	ErdFL_0065	CDS	Rv0060	63888	64947	+	ratt	Simliar to Rv0060 of M. tuberculosis H37Rv
ErdFL_0066	ErdFL_0066	gene	Rv0061c	64991	65330	-	ratt	Simliar to Rv0061c of M. tuberculosis H37Rv
ErdFL_0066	ErdFL_0066	CDS	Rv0061c	64991	65330	-	ratt	Simliar to Rv0061c of M. tuberculosis H37Rv
ErdFL_0067	celA1	gene	Rv0062	65531	66674	+	ratt	Simliar to Rv0062 of M. tuberculosis H37Rv
ErdFL_0067	celA1	CDS	Rv0062	65531	66674	+	ratt	Simliar to Rv0062 of M. tuberculosis H37Rv
ErdFL_0068	ErdFL_0068	gene	Rv0063	66902	68342	+	ratt	Simliar to Rv0063 of M. tuberculosis H37Rv
ErdFL_0068	ErdFL_0068	CDS	Rv0063	66902	68342	+	ratt	Simliar to Rv0063 of M. tuberculosis H37Rv
ErdFL_0069	ErdFL_0069	gene	Rv0063a	68397	68559	+	ratt	Simliar to Rv0063a of M. tuberculosis H37Rv
ErdFL_0069	ErdFL_0069	CDS	Rv0063a	68397	68559	+	ratt	Simliar to Rv0063a of M. tuberculosis H37Rv
ErdFL_0070	ErdFL_0070	gene	Rv0064	68599	70051	+	ratt	Simliar to Rv0064 of M. tuberculosis H37Rv;truncated C-term
ErdFL_0070	ErdFL_0070	CDS	Rv0064	68599	70051	+	ratt	Simliar to Rv0064 of M. tuberculosis H37Rv;truncated C-term
ErdFL_0071	vapB1	gene	Rv0064A	70701	70941	+	ratt	Simliar to Rv0064A of M. tuberculosis H37Rv
ErdFL_0071	vapB1	CDS	Rv0064A	70701	70941	+	ratt	Simliar to Rv0064A of M. tuberculosis H37Rv
ErdFL_0072	vapC1	gene	Rv0065	70933	71335	+	ratt	Simliar to Rv0065 of M. tuberculosis H37Rv
ErdFL_0072	vapC1	CDS	Rv0065	70933	71335	+	ratt	Simliar to Rv0065 of M. tuberculosis H37Rv
ErdFL_0073	icd2	gene	Rv0066c	71386	73624	-	ratt	Simliar to Rv0066c of M. tuberculosis H37Rv
ErdFL_0073	icd2	CDS	Rv0066c	71386	73624	-	ratt	Simliar to Rv0066c of M. tuberculosis H37Rv
ErdFL_0074	ErdFL_0074	gene	Rv0067c	73741	74311	-	ratt	Simliar to Rv0067c of M. tuberculosis H37Rv
ErdFL_0074	ErdFL_0074	CDS	Rv0067c	73741	74311	-	ratt	Simliar to Rv0067c of M. tuberculosis H37Rv
ErdFL_0075	ErdFL_0075	gene	Rv0068	74413	75325	+	ratt	Simliar to Rv0068 of M. tuberculosis H37Rv
ErdFL_0075	ErdFL_0075	CDS	Rv0068	74413	75325	+	ratt	Simliar to Rv0068 of M. tuberculosis H37Rv
ErdFL_0076	sdaA	gene	Rv0069c	75349	76735	-	ratt	Simliar to Rv0069c of M. tuberculosis H37Rv
ErdFL_0076	sdaA	CDS	Rv0069c	75349	76735	-	ratt	Simliar to Rv0069c of M. tuberculosis H37Rv
ErdFL_0077	glyA2	gene	Rv0070c	76731	78009	-	ratt	Simliar to Rv0070c of M. tuberculosis H37Rv
ErdFL_0077	glyA2	CDS	Rv0070c	76731	78009	-	ratt	Simliar to Rv0070c of M. tuberculosis H37Rv
		regulatory		78316	78407	-	bakta	De novo annotation with bakta
ErdFL_0078	ErdFL_0078	gene	Rv0071	78598	79324	+	ratt	Simliar to Rv0071 of M. tuberculosis H37Rv
ErdFL_0078	ErdFL_0078	CDS	Rv0071	78598	79324	+	ratt	Simliar to Rv0071 of M. tuberculosis H37Rv
ErdFL_0079	ErdFL_0079	gene	Rv0072	79754	80804	+	ratt	Simliar to Rv0072 of M. tuberculosis H37Rv
ErdFL_0079	ErdFL_0079	CDS	Rv0072	79754	80804	+	ratt	Simliar to Rv0072 of M. tuberculosis H37Rv
ErdFL_0080	ErdFL_0080	gene	Rv0073	80806	81799	+	ratt	Simliar to Rv0073 of M. tuberculosis H37Rv
ErdFL_0080	ErdFL_0080	CDS	Rv0073	80806	81799	+	ratt	Simliar to Rv0073 of M. tuberculosis H37Rv
ErdFL_0081	ErdFL_0081	gene	Rv0074	81878	83114	+	ratt	Simliar to Rv0074 of M. tuberculosis H37Rv
ErdFL_0081	ErdFL_0081	CDS	Rv0074	81878	83114	+	ratt	Simliar to Rv0074 of M. tuberculosis H37Rv
ErdFL_0082	ErdFL_0082	gene	Rv0075	83126	84299	+	ratt	Simliar to Rv0075 of M. tuberculosis H37Rv
ErdFL_0082	ErdFL_0082	CDS	Rv0075	83126	84299	+	ratt	Simliar to Rv0075 of M. tuberculosis H37Rv
ErdFL_0083	ErdFL_0083	gene	Rv0076c	84313	84703	-	ratt	Simliar to Rv0076c of M. tuberculosis H37Rv
ErdFL_0083	ErdFL_0083	CDS	Rv0076c	84313	84703	-	ratt	Simliar to Rv0076c of M. tuberculosis H37Rv
ErdFL_0084	ErdFL_0084	gene	Rv0077c	84766	85597	-	ratt	Simliar to Rv0077c of M. tuberculosis H37Rv
ErdFL_0084	ErdFL_0084	CDS	Rv0077c	84766	85597	-	ratt	Simliar to Rv0077c of M. tuberculosis H37Rv
ErdFL_0085	ErdFL_0085	gene	Rv0078	85658	86264	+	ratt	Simliar to Rv0078 of M. tuberculosis H37Rv
ErdFL_0085	ErdFL_0085	CDS	Rv0078	85658	86264	+	ratt	Simliar to Rv0078 of M. tuberculosis H37Rv
ErdFL_0086	ErdFL_0086	gene	Rv0078A	86338	86932	-	ratt	Simliar to Rv0078A of M. tuberculosis H37Rv
ErdFL_0086	ErdFL_0086	CDS	Rv0078A	86338	86932	-	ratt	Simliar to Rv0078A of M. tuberculosis H37Rv
ErdFL_0087	ErdFL_0087	gene	Rv0078B	86928	87135	-	ratt	Simliar to Rv0078B of M. tuberculosis H37Rv
ErdFL_0087	ErdFL_0087	CDS	Rv0078B	86928	87135	-	ratt	Simliar to Rv0078B of M. tuberculosis H37Rv
ErdFL_0088	ErdFL_0088	gene	Rv0079	87334	88156	+	ratt	Simliar to Rv0079 of M. tuberculosis H37Rv
ErdFL_0088	ErdFL_0088	CDS	Rv0079	87334	88156	+	ratt	Simliar to Rv0079 of M. tuberculosis H37Rv
ErdFL_0089	ErdFL_0089	gene	Rv0080	88152	88611	+	ratt	Simliar to Rv0080 of M. tuberculosis H37Rv
ErdFL_0089	ErdFL_0089	CDS	Rv0080	88152	88611	+	ratt	Simliar to Rv0080 of M. tuberculosis H37Rv
ErdFL_0090	ErdFL_0090	gene	Rv0081	88705	89050	+	ratt	Simliar to Rv0081 of M. tuberculosis H37Rv
ErdFL_0090	ErdFL_0090	CDS	Rv0081	88705	89050	+	ratt	Simliar to Rv0081 of M. tuberculosis H37Rv
ErdFL_0091	ErdFL_0091	gene	Rv0082	89054	89534	+	ratt	Simliar to Rv0082 of M. tuberculosis H37Rv
ErdFL_0091	ErdFL_0091	CDS	Rv0082	89054	89534	+	ratt	Simliar to Rv0082 of M. tuberculosis H37Rv
ErdFL_0092	ErdFL_0092	gene	Rv0083	89530	91453	+	ratt	Simliar to Rv0083 of M. tuberculosis H37Rv
ErdFL_0092	ErdFL_0092	CDS	Rv0083	89530	91453	+	ratt	Simliar to Rv0083 of M. tuberculosis H37Rv
ErdFL_0093	hycD	gene	Rv0084	91458	92409	+	ratt	Simliar to Rv0084 of M. tuberculosis H37Rv
ErdFL_0093	hycD	CDS	Rv0084	91458	92409	+	ratt	Simliar to Rv0084 of M. tuberculosis H37Rv
ErdFL_0094	hycP	gene	Rv0085	92419	93082	+	ratt	Simliar to Rv0085 of M. tuberculosis H37Rv
ErdFL_0094	hycP	CDS	Rv0085	92419	93082	+	ratt	Simliar to Rv0085 of M. tuberculosis H37Rv
ErdFL_0095	hycQ	gene	Rv0086	93081	94548	+	ratt	Simliar to Rv0086 of M. tuberculosis H37Rv
ErdFL_0095	hycQ	CDS	Rv0086	93081	94548	+	ratt	Simliar to Rv0086 of M. tuberculosis H37Rv
ErdFL_0096	hycE	gene	Rv0087	94544	96023	+	ratt	Simliar to Rv0087 of M. tuberculosis H37Rv
ErdFL_0096	hycE	CDS	Rv0087	94544	96023	+	ratt	Simliar to Rv0087 of M. tuberculosis H37Rv
ErdFL_0097	ErdFL_0097	gene	Rv0088	96057	96732	+	ratt	Simliar to Rv0088 of M. tuberculosis H37Rv
ErdFL_0097	ErdFL_0097	CDS	Rv0088	96057	96732	+	ratt	Simliar to Rv0088 of M. tuberculosis H37Rv
ErdFL_0098	ErdFL_0098	gene	Rv0089	96888	97482	+	ratt	Simliar to Rv0089 of M. tuberculosis H37Rv
ErdFL_0098	ErdFL_0098	CDS	Rv0089	96888	97482	+	ratt	Simliar to Rv0089 of M. tuberculosis H37Rv
ErdFL_0099	ErdFL_0099	gene	Rv0090	97610	98381	+	ratt	Simliar to Rv0090 of M. tuberculosis H37Rv
ErdFL_0099	ErdFL_0099	CDS	Rv0090	97610	98381	+	ratt	Simliar to Rv0090 of M. tuberculosis H37Rv
ErdFL_0100	ErdFL_0100	gene		98509	98704	+	bakta	De novo annotation with bakta
ErdFL_0100	ErdFL_0100	CDS		98509	98704	+	bakta	De novo annotation with bakta
ErdFL_0101	mtn	gene	Rv0091	98814	99582	+	ratt	Simliar to Rv0091 of M. tuberculosis H37Rv
ErdFL_0101	mtn	CDS	Rv0091	98814	99582	+	ratt	Simliar to Rv0091 of M. tuberculosis H37Rv
ErdFL_0102	ctpA	gene	Rv0092	99713	101999	+	ratt	Simliar to Rv0092 of M. tuberculosis H37Rv
ErdFL_0102	ctpA	CDS	Rv0092	99713	101999	+	ratt	Simliar to Rv0092 of M. tuberculosis H37Rv
ErdFL_0103	ErdFL_0103	gene	Rv0093c	101945	102794	-	ratt	Simliar to Rv0093c of M. tuberculosis H37Rv
ErdFL_0103	ErdFL_0103	CDS	Rv0093c	101945	102794	-	ratt	Simliar to Rv0093c of M. tuberculosis H37Rv
ErdFL_0104	ErdFL_0104	gene	Rv0094c	102840	103794	-	ratt	Simliar to Rv0094c of M. tuberculosis H37Rv
ErdFL_0104	ErdFL_0104	CDS	Rv0094c	102840	103794	-	ratt	Simliar to Rv0094c of M. tuberculosis H37Rv
ErdFL_0105	ErdFL_0105	gene	Rv0095c	103935	104346	-	ratt	Simliar to Rv0095c of M. tuberculosis H37Rv
ErdFL_0105	ErdFL_0105	CDS	Rv0095c	103935	104346	-	ratt	Simliar to Rv0095c of M. tuberculosis H37Rv
ErdFL_0106	PPE1	gene	Rv0096	104454	105846	+	ratt	Simliar to Rv0096 of M. tuberculosis H37Rv
ErdFL_0106	PPE1	CDS	Rv0096	104454	105846	+	ratt	Simliar to Rv0096 of M. tuberculosis H37Rv
ErdFL_0107	ErdFL_0107	gene	Rv0097	105864	106734	+	ratt	Simliar to Rv0097 of M. tuberculosis H37Rv
ErdFL_0107	ErdFL_0107	CDS	Rv0097	105864	106734	+	ratt	Simliar to Rv0097 of M. tuberculosis H37Rv
ErdFL_0108	fcoT	gene	Rv0098	106730	107282	+	ratt	Simliar to Rv0098 of M. tuberculosis H37Rv
ErdFL_0108	fcoT	CDS	Rv0098	106730	107282	+	ratt	Simliar to Rv0098 of M. tuberculosis H37Rv
ErdFL_0109	fadD10	gene	Rv0099	107286	108909	+	ratt	Simliar to Rv0099 of M. tuberculosis H37Rv
ErdFL_0109	fadD10	CDS	Rv0099	107286	108909	+	ratt	Simliar to Rv0099 of M. tuberculosis H37Rv
