locus_tag	gene	type	rv_equivalent	start	end	strand	source
Erdman_0061	rplI	CDS	Rv0056	59388	59847	+	ratt
Erdman_0062	ERv0057	CDS	Rv0057	59875	60397	+	ratt
Erdman_0063	dnaB	CDS	Rv0058	60375	63000	+	ratt
Erdman_0064	ERv0059	CDS	Rv0059	63179	63872	+	ratt
Erdman_0065	ERv0060	CDS	Rv0060	63888	64947	+	ratt
Erdman_0066	ERv0061c	CDS	Rv0061c	64991	65330	-	ratt
Erdman_0067	celA1	CDS	Rv0062	65531	66674	+	ratt
Erdman_0068	ERv0063	CDS	Rv0063	66902	68342	+	ratt
Erdman_0069	ERv0063a	CDS	Rv0063a	68397	68559	+	ratt
Erdman_0070	ERv0064	CDS	Rv0064	68599	70051	+	ratt
Erdman_0071	vapB1	CDS	Rv0064A	70701	70941	+	ratt
Erdman_0072	vapC1	CDS	Rv0065	70933	71335	+	ratt
Erdman_0073	icd2	CDS	Rv0066c	71386	73624	-	ratt
Erdman_0074	ERv0067c	CDS	Rv0067c	73741	74311	-	ratt
Erdman_0075	ERv0068	CDS	Rv0068	74413	75325	+	ratt
Erdman_0076	sdaA	CDS	Rv0069c	75349	76735	-	ratt
Erdman_0077	glyA2	CDS	Rv0070c	76731	78009	-	ratt
		regulatory		78316	78407	-	bakta
Erdman_0078	ERv0071	CDS	Rv0071	78598	79324	+	ratt
Erdman_0079	ERv0072	CDS	Rv0072	79754	80804	+	ratt
Erdman_0080	ERv0073	CDS	Rv0073	80806	81799	+	ratt
Erdman_0081	ERv0074	CDS	Rv0074	81878	83114	+	ratt
Erdman_0082	ERv0075	CDS	Rv0075	83126	84299	+	ratt
Erdman_0083	ERv0076c	CDS	Rv0076c	84313	84703	-	ratt
Erdman_0084	ERv0077c	CDS	Rv0077c	84766	85597	-	ratt
Erdman_0085	ERv0078	CDS	Rv0078	85658	86264	+	ratt
Erdman_0086	ERv0078A	CDS	Rv0078A	86338	86932	-	ratt
Erdman_0087	ERv0078B	CDS	Rv0078B	86928	87135	-	ratt
Erdman_0088	ERv0079	CDS	Rv0079	87334	88156	+	ratt
Erdman_0089	ERv0080	CDS	Rv0080	88152	88611	+	ratt
Erdman_0090	ERv0081	CDS	Rv0081	88705	89050	+	ratt
Erdman_0091	ERv0082	CDS	Rv0082	89054	89534	+	ratt
Erdman_0092	ERv0083	CDS	Rv0083	89530	91453	+	ratt
Erdman_0093	hycD	CDS	Rv0084	91458	92409	+	ratt
Erdman_0094	hycP	CDS	Rv0085	92419	93082	+	ratt
Erdman_0095	hycQ	CDS	Rv0086	93081	94548	+	ratt
Erdman_0096	hycE	CDS	Rv0087	94544	96023	+	ratt
Erdman_0097	ERv0088	CDS	Rv0088	96057	96732	+	ratt
Erdman_0098	ERv0089	CDS	Rv0089	96888	97482	+	ratt
Erdman_0099	ERv0090	CDS	Rv0090	97610	98381	+	ratt
Erdman_0100	Erdman_0100	CDS		98509	98704	+	bakta
Erdman_0101	mtn	CDS	Rv0091	98814	99582	+	ratt
Erdman_0102	ctpA	CDS	Rv0092	99713	101999	+	ratt
Erdman_0103	ERv0093c	CDS	Rv0093c	101945	102794	-	ratt
Erdman_0104	ERv0094c	CDS	Rv0094c	102840	103794	-	ratt
Erdman_0105	ERv0095c	CDS	Rv0095c	103935	104346	-	ratt
Erdman_0106	PPE1	CDS	Rv0096	104454	105846	+	ratt
Erdman_0107	ERv0097	CDS	Rv0097	105864	106734	+	ratt
Erdman_0108	fcoT	CDS	Rv0098	106730	107282	+	ratt
Erdman_0109	fadD10	CDS	Rv0099	107286	108909	+	ratt
Erdman_0110	ERv0100	CDS	Rv0100	108913	109150	+	ratt
Erdman_0111	nrp	CDS	Rv0101	109131	116670	+	ratt
Erdman_0112	ERv0102	CDS	Rv0102	116844	118830	+	ratt
Erdman_0113	ctpB	CDS	Rv0103c	119045	121304	-	ratt
Erdman_0114	ERv0104	CDS	Rv0104	121447	122962	+	ratt
Erdman_0115	rpmB1	CDS	Rv0105c	123110	123395	-	ratt
Erdman_0116	ERv0106	CDS	Rv0106	123504	124701	+	ratt
Erdman_0117	ctpI	CDS	Rv0107c	124795	129673	-	ratt
Erdman_0118	ERv0108c	CDS	Rv0108c	130026	130236	-	ratt
Erdman_0119	PE_PGRS1	CDS	Rv0109	130514	132005	+	ratt
Erdman_0120	ERv0110	CDS	Rv0110	132152	132902	+	ratt
Erdman_0121	ERv0111	CDS	Rv0111	133082	135140	+	ratt
Erdman_0122	gca	CDS	Rv0112	135421	136378	+	ratt
Erdman_0123	gmhA	CDS	Rv0113	136451	137042	+	ratt
Erdman_0124	gmhB	CDS	Rv0114	137073	137646	+	ratt
Erdman_0125	hddA	CDS	Rv0115	137645	138806	+	ratt
Erdman_0126	ERv0115a	CDS	Rv0115a	139088	139277	+	ratt
Erdman_0127	ldtA	CDS	Rv0116c	139399	140155	-	ratt
Erdman_0128	oxyS	CDS	Rv0117	140332	141277	+	ratt
Erdman_0129	oxcA	CDS	Rv0118c	141260	143009	-	ratt
Erdman_0130	fadD7	CDS	Rv0119	143181	144759	+	ratt
Erdman_0131	fusA2	CDS	Rv0120c	144759	146904	-	ratt
Erdman_0132	ERv0121c	CDS	Rv0121c	147040	147475	-	ratt
Erdman_0133	ERv0122	CDS	Rv0122	147623	147992	+	ratt
Erdman_0134	ERv0123	CDS	Rv0123	147988	148357	+	ratt
Erdman_0135	PE_PGRS2	CDS	Rv0124	148665	150309	+	ratt
Erdman_0136	pepA	CDS	Rv0125	150460	151528	+	ratt
Erdman_0137	treS	CDS	Rv0126	151636	153442	+	ratt
Erdman_0138	mak	CDS	Rv0127	153544	154912	+	ratt
Erdman_0139	ERv0128	CDS	Rv0128	154979	155759	+	ratt
Erdman_0140	fbpC	CDS	Rv0129c	155890	156913	-	ratt
Erdman_0141	htdZ	CDS	Rv0130	157159	157615	+	ratt
Erdman_0142	fadE1	CDS	Rv0131c	157627	158971	-	ratt
Erdman_0143	fgd2	CDS	Rv0132c	159012	160095	-	ratt
Erdman_0144	ERv0133	CDS	Rv0133	160181	160787	+	ratt
Erdman_0145	ephF	CDS	Rv0134	161083	161986	+	ratt
Erdman_0146	ERv0135c	CDS	Rv0135c	161956	162562	-	ratt
Erdman_0147	cyp138	CDS	Rv0136	162678	164004	+	ratt
Erdman_0148	msrA	CDS	Rv0137c	164024	164573	-	ratt
Erdman_0149	ERv0138	CDS	Rv0138	164635	165139	+	ratt
Erdman_0150	ERv0139	CDS	Rv0139	165139	166162	+	ratt
Erdman_0151	ERv0140	CDS	Rv0140	166222	166603	+	ratt
Erdman_0152	ERv0141c	CDS	Rv0141c	166583	166994	-	ratt
Erdman_0153	ERv0142	CDS	Rv0142	167023	167950	+	ratt
Erdman_0154	ERv0143c	CDS	Rv0143c	168016	169495	-	ratt
Erdman_0155	ERv0144	CDS	Rv0144	169596	170439	+	ratt
Erdman_0156	ERv0145	CDS	Rv0145	170527	171481	+	ratt
Erdman_0157	ERv0146	CDS	Rv0146	171523	172456	+	ratt
Erdman_0158	ERv0147	CDS	Rv0147	172550	174071	+	ratt
Erdman_0159	ERv0148	CDS	Rv0148	174145	175006	+	ratt
Erdman_0160	ERv0149	CDS	Rv0149	175012	175981	+	ratt
Erdman_0161	ERv0150c	CDS	Rv0150c	175977	176265	-	ratt
Erdman_0162	PE1	CDS	Rv0151c	176855	178622	-	ratt
Erdman_0163	PE2	CDS	Rv0152c	178631	180209	-	ratt
Erdman_0164	ptbB	CDS	Rv0153c	180467	181298	-	ratt
Erdman_0165	fadE2	CDS	Rv0154c	181299	182511	-	ratt
Erdman_0166	pntAa	CDS	Rv0155	182934	184035	+	ratt
Erdman_0167	pntAb	CDS	Rv0156	184035	184368	+	ratt
Erdman_0168	pntB	CDS	Rv0157	184364	185792	+	ratt
Erdman_0169	ERv0157A	CDS	Rv0157A	185807	185936	-	ratt
Erdman_0170	ERv0158	CDS	Rv0158	186097	186742	+	ratt
Erdman_0171	PE3	CDS	Rv0159c	186745	188152	-	ratt
Erdman_0172	PE4	CDS	Rv0160c	188243	189752	-	ratt
Erdman_0173	ERv0161	CDS	Rv0161	189919	191269	+	ratt
Erdman_0174	adhE1	CDS	Rv0162c	191296	192448	-	ratt
Erdman_0175	ERv0163	CDS	Rv0163	192429	192885	+	ratt
Erdman_0176	TB18.5	CDS	Rv0164	192938	193424	+	ratt
Erdman_0177	mce1R	CDS	Rv0165c	193456	194128	-	ratt
Erdman_0178	fadD5	CDS	Rv0166	194305	195970	+	ratt
Erdman_0179	yrbE1A	CDS	Rv0167	196173	196971	+	ratt
Erdman_0180	yrbE1B	CDS	Rv0168	196972	197842	+	ratt
Erdman_0181	mce1A	CDS	Rv0169	197846	199211	+	ratt
Erdman_0182	mce1B	CDS	Rv0170	199207	200248	+	ratt
Erdman_0183	mce1C	CDS	Rv0171	200244	201792	+	ratt
Erdman_0184	mce1D	CDS	Rv0172	201788	203381	+	ratt
Erdman_0185	lprK	CDS	Rv0173	203377	204550	+	ratt
Erdman_0186	mce1F	CDS	Rv0174	204543	206091	+	ratt
Erdman_0187	ERv0175	CDS	Rv0175	206126	206768	+	ratt
Erdman_0188	ERv0176	CDS	Rv0176	206764	207733	+	ratt
Erdman_0189	ERv0177	CDS	Rv0177	207729	208284	+	ratt
Erdman_0190	ERv0178	CDS	Rv0178	208250	208985	+	ratt
Erdman_0191	lprO	CDS	Rv0179c	209015	210125	-	ratt
Erdman_0192	ERv0180c	CDS	Rv0180c	210204	211563	-	ratt
Erdman_0193	ERv0181c	CDS	Rv0181c	211589	212324	-	ratt
Erdman_0194	sigG	CDS	Rv0182c	212340	213453	-	ratt
Erdman_0195	ERv0183	CDS	Rv0183	213400	214240	+	ratt
Erdman_0196	ERv0184	CDS	Rv0184	214281	215031	+	ratt
Erdman_0197	ERv0185	CDS	Rv0185	215027	215537	+	ratt
Erdman_0198	bglS	CDS	Rv0186	215581	217657	+	ratt
Erdman_0199	mymT	CDS	Rv0186A	217702	217864	-	ratt
Erdman_0200	ERv0187	CDS	Rv0187	218017	218680	+	ratt
Erdman_0201	ERv0188	CDS	Rv0188	218798	219230	+	ratt
Erdman_0202	ilvD	CDS	Rv0189c	219308	221036	-	ratt
Erdman_0203	ERv0190	CDS	Rv0190	221183	221474	+	ratt
Erdman_0204	ERv0191	CDS	Rv0191	221601	222843	+	ratt
Erdman_0205	ERv0192	CDS	Rv0192	222876	223977	+	ratt
Erdman_0206	ERv0193c	CDS	Rv0193c	224036	225884	-	ratt
Erdman_0207	Erdman_0207	CDS		226012	226132	+	bakta
Erdman_0208	ERv0194	CDS	Rv0194	226190	229775	+	ratt
Erdman_0209	ERv0195	CDS	Rv0195	230211	230847	+	ratt
Erdman_0210	ERv0196	CDS	Rv0196	230959	231544	+	ratt
Erdman_0211	ERv0197	CDS	Rv0197	231543	233790	+	ratt
Erdman_0212	zmp1	CDS	Rv0198c	233830	235822	-	ratt
Erdman_0213	ERv0199	CDS	Rv0199	235864	236524	+	ratt
Erdman_0214	ERv0200	CDS	Rv0200	236520	237210	+	ratt
Erdman_0215	ERv0201c	CDS	Rv0201c	237206	237710	-	ratt
Erdman_0216	mmpL11	CDS	Rv0202c	237706	240607	-	ratt
Erdman_0217	ERv0203	CDS	Rv0203	240828	241239	+	ratt
Erdman_0218	ERv0204c	CDS	Rv0204c	241290	242529	-	ratt
Erdman_0219	ERv0205	CDS	Rv0205	242698	243802	+	ratt
Erdman_0220	mmpL3	CDS	Rv0206c	243798	246633	-	ratt
Erdman_0221	ERv0207c	CDS	Rv0207c	246698	247427	-	ratt
Erdman_0222	ERv0208c	CDS	Rv0208c	247429	248221	-	ratt
Erdman_0223	ERv0209	CDS	Rv0209	248352	249438	+	ratt
Erdman_0224	ERv0210	CDS	Rv0210	249434	250913	+	ratt
Erdman_0225	pckA	CDS	Rv0211	251096	252917	+	ratt
Erdman_0226	nadR	CDS	Rv0212c	252983	253955	-	ratt
Erdman_0227	ERv0213c	CDS	Rv0213c	253951	255265	-	ratt
Erdman_0228	fadD4	CDS	Rv0214	255378	256992	+	ratt
Erdman_0229	Erdman_0229	CDS		257097	258171	-	bakta
Erdman_0230	ERv0216	CDS	Rv0216	258227	259241	+	ratt
Erdman_0231	lipW	CDS	Rv0217c	259237	260146	-	ratt
Erdman_0232	ERv0218	CDS	Rv0218	260238	261567	+	ratt
Erdman_0233	ERv0219	CDS	Rv0219	261568	262117	+	ratt
Erdman_0234	lipC	CDS	Rv0220	262126	263338	+	ratt
Erdman_0235	ERv0221	CDS	Rv0221	263381	264791	+	ratt
Erdman_0236	echA1	CDS	Rv0222	264821	265610	+	ratt
Erdman_0237	ERv0223c	CDS	Rv0223c	265615	267079	-	ratt
Erdman_0238	ERv0224c	CDS	Rv0224c	267177	267942	-	ratt
Erdman_0239	ERv0225	CDS	Rv0225	267977	269132	+	ratt
Erdman_0240	ERv0226c	CDS	Rv0226c	269148	270879	-	ratt
Erdman_0241	ERv0227c	CDS	Rv0227c	270888	272154	-	ratt
Erdman_0242	ERv0228	CDS	Rv0228	272369	273593	+	ratt
Erdman_0243	ERv0229c	CDS	Rv0229c	273620	274301	-	ratt
Erdman_0244	php	CDS	Rv0230c	274297	275278	-	ratt
Erdman_0245	fadE4	CDS	Rv0231	275372	277079	+	ratt
Erdman_0246	ERv0232	CDS	Rv0232	277213	277903	+	ratt
Erdman_0247	nrdB	CDS	Rv0233	277899	278844	+	ratt
Erdman_0248	gabD1	CDS	Rv0234c	278919	280455	-	ratt
Erdman_0249	ERv0235c	CDS	Rv0235c	280480	281929	-	ratt
Erdman_0250	aftD	CDS	Rv0236c	281963	286166	-	ratt
Erdman_0251	ERv0236A	CDS	Rv0236A	286212	286386	-	ratt
Erdman_0252	lpqI	CDS	Rv0237	286500	287667	+	ratt
Erdman_0253	ERv0238	CDS	Rv0238	287742	288357	+	ratt
Erdman_0254	vapB24	CDS	Rv0239	288418	288652	+	ratt
Erdman_0255	vapC24	CDS	Rv0240	288659	289097	+	ratt
Erdman_0256	htdX	CDS	Rv0241c	289126	289969	-	ratt
Erdman_0257	fabG4	CDS	Rv0242c	289979	291344	-	ratt
Erdman_0258	fadA2	CDS	Rv0243	291485	292808	+	ratt
Erdman_0259	F6	ncRNA	RVnc0008	292918	293021	+	ratt
Erdman_0260	fadE5	CDS	Rv0244c	293113	294949	-	ratt
Erdman_0261	ERv0245	CDS	Rv0245	295320	295809	+	ratt
Erdman_0262	ERv0246	CDS	Rv0246	296124	297435	+	ratt
Erdman_0263	ERv0247c	CDS	Rv0247c	297431	298178	-	ratt
Erdman_0264	ERv0248c	CDS	Rv0248c	298178	300119	-	ratt
Erdman_0265	ERv0249c	CDS	Rv0249c	300149	300971	-	ratt
Erdman_0266	ERv0250c	CDS	Rv0250c	301050	301344	-	ratt
Erdman_0267	hsp	CDS	Rv0251c	301488	301968	-	ratt
Erdman_0268	nirB	CDS	Rv0252	302181	304743	+	ratt
Erdman_0269	nirD	CDS	Rv0253	304768	305125	+	ratt
Erdman_0270	cobU	CDS	Rv0254c	305140	305665	-	ratt
Erdman_0271	cobQ1	CDS	Rv0255c	305689	307174	-	ratt
Erdman_0272	PPE2	CDS	Rv0256c	307192	308863	-	ratt
Erdman_0273	ERv0257	CDS	Rv0257	309014	309389	+	ratt
Erdman_0274	ERv0258c	CDS	Rv0258c	309609	310065	-	ratt
Erdman_0275	ERv0259c	CDS	Rv0259c	310089	310833	-	ratt
Erdman_0276	ERv0260c	CDS	Rv0260c	310829	311975	-	ratt
Erdman_0277	narK3	CDS	Rv0261c	312074	313484	-	ratt
Erdman_0278	aac	CDS	Rv0262c	313624	314170	-	ratt
Erdman_0279	ERv0263c	CDS	Rv0263c	314179	315082	-	ratt
Erdman_0280	ERv0264c	CDS	Rv0264c	315098	315731	-	ratt
Erdman_0281	ERv0265c	CDS	Rv0265c	315826	316819	-	ratt
Erdman_0282	oplA	CDS	Rv0266c	316840	320470	-	ratt
Erdman_0283	narU	CDS	Rv0267	320646	322038	+	ratt
Erdman_0284	ERv0268c	CDS	Rv0268c	322079	322589	-	ratt
Erdman_0285	ERv0269c	CDS	Rv0269c	322653	323847	-	ratt
Erdman_0286	fadD2	CDS	Rv0270	323882	325565	+	ratt
Erdman_0287	fadE6	CDS	Rv0271c	325581	327777	-	ratt
Erdman_0288	ERv0272c	CDS	Rv0272c	327890	329024	-	ratt
Erdman_0289	ERv0273c	CDS	Rv0273c	329020	329641	-	ratt
Erdman_0290	ERv0274	CDS	Rv0274	329737	330319	+	ratt
Erdman_0291	ERv0275c	CDS	Rv0275c	330248	330974	-	ratt
Erdman_0292	ERv0276	CDS	Rv0276	331063	331984	+	ratt
Erdman_0293	vapC25	CDS	Rv0277c	332023	332452	-	ratt
Erdman_0294	vapB25	CDS	Rv0277A	332475	332733	-	ratt
Erdman_0295	ERv0278c	CDS	Rv0278c	332752	335560	-	ratt
Erdman_0296	PE_PGRS4	CDS	Rv0279c	335823	338523	-	ratt
Erdman_0297	Erdman_0297	CDS		338772	341349	-	bakta
Erdman_0298	PPE3	CDS	Rv0280	341639	343250	+	ratt
Erdman_0299	ERv0281	CDS	Rv0281	343273	344182	+	ratt
Erdman_0300	eccA3	CDS	Rv0282	344405	346301	+	ratt
Erdman_0301	eccB3	CDS	Rv0283	346297	347914	+	ratt
Erdman_0302	eccC3	CDS	Rv0284	347910	351903	+	ratt
Erdman_0303	PE5	CDS	Rv0285	351899	352208	+	ratt
Erdman_0304	PPE4	CDS	Rv0286	352210	353752	+	ratt
Erdman_0305	esxG	CDS	Rv0287	353800	354094	+	ratt
Erdman_0306	esxH	CDS	Rv0288	354123	354414	+	ratt
Erdman_0307	espG3	CDS	Rv0289	354424	355312	+	ratt
Erdman_0308	eccD3	CDS	Rv0290	355358	356777	+	ratt
Erdman_0309	mycP3	CDS	Rv0291	356773	358159	+	ratt
Erdman_0310	eccE3	CDS	Rv0292	358155	359151	+	ratt
Erdman_0311	ERv0293c	CDS	Rv0293c	359137	360340	-	ratt
Erdman_0312	tam	CDS	Rv0294	360446	361232	+	ratt
Erdman_0313	ERv0295c	CDS	Rv0295c	361220	362024	-	ratt
Erdman_0314	ERv0296c	CDS	Rv0296c	362033	363431	-	ratt
Erdman_0315	PE_PGRS5	CDS	Rv0297	363609	365385	+	ratt
Erdman_0316	ERv0298	CDS	Rv0298	365527	365755	+	ratt
Erdman_0317	ERv0299	CDS	Rv0299	365751	366054	+	ratt
Erdman_0318	vapB2	CDS	Rv0300	366101	366323	+	ratt
Erdman_0319	vapC2	CDS	Rv0301	366319	366745	+	ratt
Erdman_0320	ERv0302	CDS	Rv0302	366880	367513	+	ratt
Erdman_0321	ERv0303	CDS	Rv0303	367509	368418	+	ratt
Erdman_0322	PPE5	CDS	Rv0304c	368425	375040	-	ratt
Erdman_0323	PPE6	CDS	Rv0305c	368425	377986	-	ratt
Erdman_0324	ERv0306	CDS	Rv0306	378188	378860	+	ratt
Erdman_0325	ERv0307c	CDS	Rv0307c	378847	379330	-	ratt
Erdman_0326	ERv0308	CDS	Rv0308	379387	380104	+	ratt
Erdman_0327	ERv0309	CDS	Rv0309	380205	380862	+	ratt
Erdman_0328	ERv0310c	CDS	Rv0310c	380931	381423	-	ratt
Erdman_0329	ERv0311	CDS	Rv0311	381446	382676	+	ratt
Erdman_0330	ERv0312	CDS	Rv0312	382830	384693	+	ratt
Erdman_0331	ERv0313	CDS	Rv0313	384764	385151	+	ratt
Erdman_0332	ERv0314c	CDS	Rv0314c	385153	385816	-	ratt
Erdman_0333	ERv0315	CDS	Rv0315	385876	386761	+	ratt
Erdman_0334	ERv0316	CDS	Rv0316	386809	387424	+	ratt
Erdman_0335	glpQ2	CDS	Rv0317c	387447	388218	-	ratt
Erdman_0336	glyU	tRNA	Rvnt04	388478	388549	-	ratt
Erdman_0337	ERv0318c	CDS	Rv0318c	388579	389374	-	ratt
Erdman_0338	pcp	CDS	Rv0319	389422	390091	+	ratt
Erdman_0339	ERv0320	CDS	Rv0320	390162	390825	+	ratt
Erdman_0340	dcd	CDS	Rv0321	390856	391429	+	ratt
Erdman_0341	udgA	CDS	Rv0322	391534	392866	+	ratt
Erdman_0342	ERv0323c	CDS	Rv0323c	392854	393526	-	ratt
Erdman_0343	ERv0324	CDS	Rv0324	393626	394307	+	ratt
Erdman_0344	ERv0325	CDS	Rv0325	394313	394538	+	ratt
Erdman_0345	ERv0326	CDS	Rv0326	394547	395003	+	ratt
Erdman_0346	cyp135A1	CDS	Rv0327c	394970	396320	-	ratt
Erdman_0347	ERv0328	CDS	Rv0328	396385	396988	+	ratt
Erdman_0348	ERv0329c	CDS	Rv0329c	396968	397595	-	ratt
Erdman_0349	ERv0330c	CDS	Rv0330c	397621	398362	-	ratt
Erdman_0350	ERv0331	CDS	Rv0331	398475	399642	+	ratt
Erdman_0351	ERv0332	CDS	Rv0332	399716	400502	+	ratt
Erdman_0352	ERv0333	CDS	Rv0333	400528	400903	+	ratt
Erdman_0353	rmlA	CDS	Rv0334	400932	401799	+	ratt
Erdman_0354	PE6	CDS	Rv0335c	401809	402325	-	ratt
Erdman_0355	ERv0336	CDS	Rv0336	402466	403978	+	ratt
Erdman_0356	aspC	CDS	Rv0337c	404147	405437	-	ratt
Erdman_0357	ERv0338c	CDS	Rv0338c	405467	408116	-	ratt
Erdman_0358	ERv0339c	CDS	Rv0339c	408224	410723	-	ratt
Erdman_0359	ERv0340	CDS	Rv0340	410908	411448	+	ratt
Erdman_0360	iniB	CDS	Rv0341	411636	413076	+	ratt
Erdman_0361	iniA	CDS	Rv0342	413112	415035	+	ratt
Erdman_0362	iniC	CDS	Rv0343	415031	416513	+	ratt
Erdman_0363	lpqJ	CDS	Rv0344c	416655	417216	-	ratt
Erdman_0364	ERv0345	CDS	Rv0345	417324	417735	+	ratt
Erdman_0365	ansP2	CDS	Rv0346c	417776	419240	-	ratt
Erdman_0366	ERv0347	CDS	Rv0347	419578	420565	+	ratt
Erdman_0367	ERv0348	CDS	Rv0348	420567	421221	+	ratt
Erdman_0368	ERv0349	CDS	Rv0349	421223	421883	+	ratt
Erdman_0369	dnaK	CDS	Rv0350	422109	423987	+	ratt
Erdman_0370	grpE	CDS	Rv0351	423983	424691	+	ratt
Erdman_0371	dnaJ1	CDS	Rv0352	424726	425914	+	ratt
Erdman_0372	hspR	CDS	Rv0353	425913	426294	+	ratt
Erdman_0373	PPE7	CDS	Rv0354c	426418	426970	-	ratt
Erdman_0374	PPE8	CDS	Rv0355c	427052	436940	-	ratt
Erdman_0375	ERv0356c	CDS	Rv0356c	437090	437735	-	ratt
Erdman_0376	purA	CDS	Rv0357c	437731	439030	-	ratt
Erdman_0377	ERv0358	CDS	Rv0358	439120	439768	+	ratt
Erdman_0378	ERv0359	CDS	Rv0359	439778	440558	+	ratt
Erdman_0379	ERv0360c	CDS	Rv0360c	440562	441000	-	ratt
Erdman_0380	ERv0361	CDS	Rv0361	441082	441910	+	ratt
Erdman_0381	mgtE	CDS	Rv0362	442131	443514	+	ratt
Erdman_0382	fba	CDS	Rv0363c	443525	444560	-	ratt
Erdman_0383	ERv0364	CDS	Rv0364	444655	445339	+	ratt
Erdman_0384	ERv0365c	CDS	Rv0365c	445327	446458	-	ratt
Erdman_0385	ERv0366c	CDS	Rv0366c	446482	447076	-	ratt
Erdman_0386	ERv0367c	CDS	Rv0367c	447104	447494	-	ratt
